,AmericanAirlines,SouthwestAirlines,Allegiant,DeltaAirlines,AlaskaAirgroup,HawaiianHoldings,Barclays,CreditSuisse,DeutscheBank,GoldmanSachs,WellsFargo,MorganStanley,IBM,Facebook,Google,Amazon,Apple,Microsoft,MerckCO,Pfizer,RocheHolding,UnitedHealthGroup,JohnsonJ,BauschHealth,SP500,Date
Count,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,
Mean,-0.0003361133885796384,0.0002445967170452659,-4.707711201359001e-05,4.180832133649293e-05,-0.00025573761882447037,3.424070154712281e-05,-0.000548373765805406,-0.0004367205557967601,-0.0005288632005673825,0.00030334126966109716,-0.00041430793544910873,0.0005775244091808416,-1.7176299723926605e-06,0.0010496966119029189,0.0008341042813554909,0.0016105339261582295,0.0013221503970568742,0.0013870435652455122,0.0005112374925551936,0.00020852411228500703,0.00029271215376949804,0.0009412590160280259,0.00045050222871206044,-0.0008968261276026856,0.0005174863685834407,
std,0.03472482865376592,0.02291329910430765,0.029100859822188845,0.026478071569796112,0.026906914217064083,0.03313173630803546,0.025118726518037305,0.022841609886848854,0.027742876893258005,0.019899001233116394,0.020349417181862117,0.021809513464823172,0.016086103742928824,0.020354201470383936,0.016520386871299444,0.01896856296582079,0.018729223482707995,0.017539471509977273,0.01406694593400153,0.013826135971455298,0.013514117299699634,0.017810387994108817,0.01245905269659011,0.044550743450791824,0.012080060469020427,
min,-0.2522464698331194,-0.15109441510499344,-0.28329954876170726,-0.25992438563327036,-0.2323850933832583,-0.26497128794093505,-0.21851851851851867,-0.1825980392156863,-0.17488789237668156,-0.1270530803979576,-0.158676173295628,-0.15600000000000003,-0.12850727194619593,-0.18960921839080458,-0.11100819543682938,-0.07922080840279433,-0.12864694751232153,-0.147390314834851,-0.08899025407166139,-0.07734634904758009,-0.08960934846103397,-0.17276876358285953,-0.10037876353838637,-0.5146292364624967,-0.11984055248695669,
max,0.41097037974683537,0.14444133629054612,0.2924278523557087,0.21017102656035225,0.20307943391263272,0.24583741429970618,0.15104166666666674,0.16344725111441294,0.1402439024390243,0.17580306763088305,0.14534653465346548,0.19770045345577958,0.11301051323236821,0.15521444643349214,0.10448542515142134,0.13216371247816916,0.11980826040056836,0.14216887878856443,0.10408023858921167,0.08960689540306443,0.13011775098149192,0.12798933527666345,0.07997718967271217,0.33744400224215254,0.09382773987446069,
Avg Daily Returns,-0.033611338857963836,0.024459671704526592,-0.004707711201359001,0.004180832133649293,-0.025573761882447036,0.0034240701547122807,-0.054837376580540595,-0.04367205557967601,-0.052886320056738254,0.030334126966109716,-0.041430793544910874,0.05775244091808416,-0.00017176299723926605,0.10496966119029189,0.0834104281355491,0.16105339261582294,0.1322150397056874,0.1387043565245512,0.05112374925551936,0.020852411228500702,0.029271215376949804,0.09412590160280258,0.045050222871206046,-0.08968261276026855,0.05174863685834407,
Risk,3.4724828653765925,2.291329910430765,2.9100859822188845,2.6478071569796113,2.690691421706408,3.313173630803546,2.5118726518037304,2.2841609886848855,2.7742876893258006,1.9899001233116393,2.0349417181862117,2.1809513464823174,1.6086103742928823,2.0354201470383937,1.6520386871299444,1.896856296582079,1.8729223482707995,1.7539471509977274,1.406694593400153,1.3826135971455298,1.3514117299699635,1.7810387994108816,1.245905269659011,4.455074345079183,1.2080060469020426,
Annualized Returns,-8.470057392206886,6.163837269540701,-1.1863432227424684,1.0535696976796218,-6.444587994376653,0.8628656789874948,-13.81901889829623,-11.005358006078355,-13.32735265429804,7.6441999954596485,-10.44055997331754,14.553615111357209,-0.043284275304295045,26.452354619953557,21.019427890158372,40.58545493918738,33.31819000583322,34.953497844186906,12.883184812390878,5.254807629582177,7.37634627499135,23.719727203906253,11.352656163543923,-22.600018415587677,13.040656488302705,
Annualized Risk,55.12395656231668,36.373734687622246,46.196182816597805,42.03263554215008,42.71340213989986,52.59500086489867,39.87474217042206,36.25993158297376,44.04045174782455,31.588685160836164,32.3036983129872,34.621529305942055,25.53589804066497,32.311293135564675,26.225301134420853,30.111660201498957,29.73172055075784,27.843047845741445,22.330584388535556,21.94831042406109,21.452996138136587,28.273114431589466,19.778133003975665,70.72211273630083,19.176501494190195,
Cumulative Returns,-0.6818534899856721,-0.022928634108164814,-0.444315574828435,-0.3184755809778378,-0.5378501125952533,-0.46911040077799016,-0.6744639376218324,-0.595373360201841,-0.6904937247786929,0.1353596219241744,-0.5413577659523123,0.538339102768056,-0.15845901011953234,1.844574714890844,1.344196199284263,4.912664044163084,3.1967748576472133,3.6155365810840463,0.6543677434058186,0.1094316439279539,0.2848139555822329,1.6236639211703454,0.5850101671457468,-0.9147652511882582,0.7234134274819619,
Sharp Ratio,-2.6551772174711554,2.3627489192610027,-0.6653903817872914,0.11464947395410315,-2.6738807491399075,0.03406573019239,-5.800062709323453,-5.14646649877623,-5.074222370110101,3.464595993886445,-5.499204165558084,6.329171502895388,-0.4931487997228721,12.627542602126331,12.269342145595916,21.00077639564282,17.388969722050803,19.500871405806244,8.625315593958094,3.258182646896112,4.903277164198233,12.896814607016985,8.510001861093132,-5.241218576156593,10.174333580384268,
